Code Résidence ACM,Nom Résidence,Rue,Code postal,Ville,AdresseComplète,Longitude,Latitude,Zone_Sensible,Secteur,Date de Construction,Prochaine Rénovation,Date d'Acquisition,Nbre,<18,18-24,25-49,50-64,65-74,>=75
537,LES MAISONS DE MASSANE,Rue Jean cavailles,34080,MONTPELLIER,0537 LESMAISONSDEMASSANERUEJEANCAVAILLES 34080 MONTPELLIER,3.820118,43.643227,QPV,Secteur Belvedère,19990315,20390315,19990315,1,19,7,21,14,3,2
540,LES GARRIGUES HAUTES,Rue Jean cavailles,34080,MONTPELLIER,0540 LESGARRIGUESHAUTESRUEJEANCAVAILLES 34080 MONTPELLIER,3.81986,43.642895,QPV,Secteur Belvedère,19980901,20380901,19980901,1,17,11,15,12,9,1
541,LES TERRASSES DE MASSANE,rue DE GARIBALDI,34080,MONTPELLIER,0541 LESTERRASSESDEMASSANERUEDEGARIBALDI 34080 MONTPELLIER,3.819773,43.642391,QPV,Secteur Belvedère,19990201,20390201,19990201,1,38,6,29,8,1,1
543,LA TREILLE DE ST GEORGES,rue DE GIGNAC,34080,MONTPELLIER,0543 LATREILLEDESTGEORGES RUEDEGIGNAC 34080 MONTPELLIER,3.828628,43.611961,Hors QPV,Secteur Celleneuve,19920901,20320901,19920901,1,8,3,6,3,2,2
545,JARDINS DU VAL DE CROZE,IMPASSE DE SUMER,34070,MONTPELLIER,0545 JARDINSDUVALDECROZEIMPASSEDESUMER 34070 MONTPELLIER,3.841283,43.596073,QPV,Secteur Val De Croze,19990101,20390101,19990101,1,18,5,18,16,4,0
547,SAINT ROCH (LE),PLACE DE BABYLONE,34070,MONTPELLIER,0547 SAINTROCHLEPLACEDEBABYLONE 34070 MONTPELLIER,3.841097,43.596592,QPV,Secteur Val De Croze,19990108,20390108,19990108,1,11,1,14,10,3,4
550,LE DAMIER,rue MESSIDOR,34000,MONTPELLIER,0550 LEDAMIERRUEMESSIDOR 34000 MONTPELLIER,3.898456,43.602345,Hors QPV,Secteur Le Damier,19981201,20381201,19981201,1,16,6,21,18,8,0
552,CROIX VERTE,rue DE LA CROIX VERTE,34090,MONTPELLIER,0552 CROIXVERTERUEDELACROIXVERTE 34090 MONTPELLIER,3.838508,43.64645,Hors QPV,Secteur Bastide,20001015,20401015,20001015,1,19,5,22,23,14,5
561,5 RUE DES VOLONTAIRES,rue DES VOLONTAIRES,34000,MONTPELLIER,0561 5RUEDESVOLONTAIRESRUEDESVOLONTAIRES 34000 MONTPELLIER,3.864427927,43.6099455,Hors QPV,Secteur Astruc,20000115,20400115,20000115,1,1,0,0,4,5,4
562,JEAN VILAR,rue JEAN VILAR,34670,BAILLARGUES,0562 JEANVILARRUEJEANVILAR 34670 BAILLARGUES,4.023193,43.662716,Hors QPV,Secteur Agglomération,20000401,20400401,20000401,1,6,3,5,4,2,0
563,LES PEUPLIERS,AV DE LODEVE,34000,MONTPELLIER,0563 LESPEUPLIERSAVDELODEVE 34000 MONTPELLIER,3.838266,43.614132,QPV,Secteur Celleneuve,20000801,20400801,20000801,1,1,2,2,4,0,0
565,RUE DES MARELS,rue LOU TARIDO,34000,MONTPELLIER,0565 RUEDESMARELSRUELOUTARIDO 34000 MONTPELLIER,3.917141,43.614452,Hors QPV,Secteur Millénaire,19991101,20391101,20000901,1,24,27,63,28,16,5
573,HOUDON,RUE FREDERIC POTTECHER,34080,MONTPELLIER,0573 HOUDONRUEFREDERICPOTTECHER 34080 MONTPELLIER,3.844082,43.631409,Hors QPV,Secteur Malbosc,20020701,20420701,20020701,1,30,3,30,16,6,3
579,TOUR D'ASSAS,AV DE BARCELONE,34080,MONTPELLIER,0579 TOURDASSASAVDEBARCELONE 34080 MONTPELLIER,3.816909,43.621895,QPV,Secteur Jupiter,19680101,20080101,19920701,1,0,0,0,0,0,0
581,LE PAVILLON,rue du PAVILLON,34000,MONTPELLIER,0581 LEPAVILLONRUEDUPAVILLON 34000 MONTPELLIER,3.879049687,43.60271007,Hors QPV,Secteur Gare,20060721,20460721,20060721,1,8,5,9,7,1,3
583,ALEXANDER BELL,rue LEONARD DE VINCI,34000,MONTPELLIER,0583 ALEXANDERBELLRUELEONARDDEVINCI 34000 MONTPELLIER,3.906628,43.611572,Hors QPV,Secteur Millénaire,19931222,20331222,19931222,1,30,16,43,36,9,4
589,15 et 25 RUE STE URSULE,rue SAINTE URSULE,34000,MONTPELLIER,0589 15&25RUESTEURSULERUESAINTEURSULE 34000 MONTPELLIER,3.878194484,43.61386567,Hors QPV,Secteur Beaux Arts,19000101,19400101,19920801,1,3,2,7,5,3,0
590,8 RUE DES ECOLES PIES,rue DES ECOLES PIES,34000,MONTPELLIER,0590 8RUEDESECOLESPIESRUEDESECOLESPIES 34000 MONTPELLIER,3.877983465,43.61372558,Hors QPV,Secteur Beaux Arts,19000101,19400101,19921101,1,0,0,0,0,0,0
594,CLOS DES LAURIERS (LE),rte DE LAVERUNE,34070,MONTPELLIER,0594 CLOSDESLAURIERSLERTEDELAVERUNE 34070 MONTPELLIER,3.838571,43.59639,QPV,Secteur Val De Croze,19991015,20391015,19991015,1,16,8,23,24,10,5
595,VILLAGEOISES (LES),rue ARISTIDÈS DE SOUSA MENDES,34070,MONTPELLIER,0595 VILLAGEOISESLESRUEARISTIDESDESOUSAMENDES 34070 MONTPELLIER,3.838816,43.595757,QPV,Secteur Val De Croze,19990608,20390608,19990608,1,14,10,13,11,7,1
596,LE GINKGO,rue ARISTIDÈS DE SOUSA MENDES,34070,MONTPELLIER,0596 LEGINKGORUEARISTIDESDESOUSAMENDES 34070 MONTPELLIER,3.838056,43.595188,QPV,Secteur Val De Croze,20000715,20400715,20000715,1,20,6,26,13,3,3
599,SEBASTIEN BOURDON,rue DES ABEILLES,34090,MONTPELLIER,0599 SEBASTIENBOURDON RUEDESABEILLES 34090 MONTPELLIER,3.874285,43.619747,Hors QPV,Secteur Beaux Arts,19931213,20331213,19931213,1,1,1,5,10,4,2
